399;-372805;-462872;-403992;-391201
400;-372805;-420372;-402064;-394426
401;-372805;-426701;-405658;-388612
402;-372805;-438794;-410990;-395610
403;-372805;-440671;-406175;-389495
404;-372805;-422862;-412387;-392330
405;-372805;-424942;-406614;-392330
406;-372805;-473409;-406358;-392330
407;-372805;-463622;-403879;-393805
408;-372805;-425732;-408924;-393805
409;-372805;-439727;-405948;-379173
410;-372805;-439586;-415387;-393459
411;-372805;-425110;-406767;-393459
412;-372805;-488386;-403324;-393531
413;-372805;-421858;-418356;-386922
414;-372805;-441452;-408896;-381623
415;-372805;-428642;-407555;-385375
416;-372805;-475219;-421943;-377862
417;-372805;-430760;-417966;-386812
418;-372805;-444498;-410446;-387736
419;-372805;-426973;-407966;-390261
420;-372805;-442382;-408593;-388137
421;-372805;-448162;-412199;-386594
422;-372805;-431619;-409223;-390335
423;-372805;-440396;-413227;-388513
424;-372805;-435429;-407052;-385292
425;-372805;-456557;-410884;-388845
426;-372805;-439793;-407745;-386010
427;-372805;-416711;-405224;-388238
428;-372805;-486290;-410539;-388216
429;-372805;-404163;-405423;-385654
430;-372805;-443936;-401606;-386342
431;-372805;-425802;-398298;-388324
432;-372805;-436960;-398059;-387986
433;-372805;-407819;-405965;-386277
434;-372805;-412854;-395018;-383505
435;-372805;-419256;-400406;-383411
436;-365853;-422593;-397183;-365853
437;-365853;-400498;-401145;-385899
438;-365853;-439042;-403502;-387763
439;-365853;-427632;-400073;-384950
440;-365853;-418420;-402520;-390319
441;-365853;-460625;-395979;-390545
442;-365853;-436727;-401324;-383630
443;-365853;-415927;-399655;-383630
444;-365853;-407670;-399060;-383630
445;-365853;-425009;-399106;-385172
446;-365853;-414418;-404647;-388601
447;-365853;-409390;-399597;-388503
448;-365853;-428640;-398979;-388503
449;-365853;-416532;-399905;-383377
450;-365853;-459994;-396744;-384684
451;-365853;-440066;-400637;-385203
452;-365853;-448776;-403380;-385203
453;-365853;-412172;-395323;-385203
454;-365853;-435020;-398168;-375432
455;-365853;-451193;-395984;-375432
456;-365853;-453681;-402688;-375195
457;-365853;-441749;-399327;-377002
458;-365853;-406556;-399011;-376083
459;-365853;-408288;-393671;-379448
460;-365853;-440222;-402153;-380476
461;-365853;-415323;-402269;-380476
462;-365853;-412199;-391976;-380716
463;-365853;-463146;-393690;-371403
464;-365853;-457978;-392660;-374102
465;-365853;-399632;-398261;-375384
466;-365853;-384945;-389164;-377256
467;-365853;-405240;-392906;-375531
468;-365853;-415298;-395917;-375001
469;-365853;-421517;-387535;-374071
470;-363225;-413720;-389787;-363225
471;-363225;-422162;-385435;-363225
472;-363225;-427618;-388137;-363382
473;-363225;-424647;-391468;-363382
474;-363225;-431985;-387824;-363382
475;-361229;-447097;-392289;-361229
476;-361229;-446540;-384687;-361229
477;-359271;-454541;-386410;-359271
478;-359271;-411581;-386676;-361016
479;-359271;-396611;-378774;-361016
480;-355831;-413285;-380151;-355831
481;-355831;-405444;-383780;-359144
482;-355831;-397981;-390326;-359144
483;-355831;-393629;-382330;-361008
484;-355831;-414432;-384167;-361016
485;-355831;-409641;-385702;-360843
486;-355831;-443065;-378701;-360843
487;-355831;-430528;-382843;-369404
488;-355831;-393327;-387851;-363654
489;-355831;-398879;-389146;-362531
490;-355831;-385382;-388900;-363321
491;-355831;-449132;-384683;-363654
492;-355831;-395009;-381584;-361794
493;-355831;-424773;-387976;-357294
494;-355831;-414170;-390007;-358718
495;-355831;-446854;-389684;-363120
496;-355831;-375247;-383372;-362216
497;-355831;-429818;-380734;-365748
498;-354023;-394628;-384892;-354023
499;-354023;-394127;-385302;-354023
500;-352063;-409519;-383342;-352063
501;-352063;-396750;-379427;-352063
502;-351978;-386763;-379891;-351978
503;-351978;-406638;-390634;-351978
504;-351978;-441491;-393045;-355991
505;-351978;-409836;-380388;-360315
506;-351978;-403945;-384522;-352489
507;-351978;-375916;-384629;-360581
508;-351978;-394850;-390323;-365006
