Iterations;Overall best;Worst;Average;Best
448;-541078;-677770;-543828;-541078
449;-538836;-646876;-543594;-538836
450;-538836;-613711;-545039;-538836
451;-534214;-688502;-541652;-534214
452;-534035;-652662;-541150;-534035
453;-533725;-664005;-536691;-533725
454;-533546;-665201;-536783;-533546
455;-524010;-634144;-536383;-524010
456;-524010;-651418;-535188;-524010
457;-524010;-642478;-525974;-524010
458;-524010;-711533;-526447;-524010
459;-523321;-660731;-525981;-523321
460;-523026;-620555;-525793;-523026
461;-523026;-649675;-525132;-523026
462;-522974;-612096;-525001;-522974
463;-522974;-635306;-524863;-522974
464;-522897;-639795;-525057;-522897
465;-522897;-620287;-525898;-522897
466;-521938;-672582;-525800;-521938
467;-521938;-654849;-526012;-521938
468;-521938;-660731;-524606;-521938
469;-520882;-671177;-524876;-520882
470;-520882;-675684;-525072;-520882
471;-520500;-629533;-523102;-520500
472;-520280;-662012;-524048;-520280
473;-519831;-644272;-523780;-519831
474;-519831;-607413;-522398;-519831
475;-519275;-708449;-523202;-519275
476;-518979;-597893;-521854;-518979
477;-517560;-632279;-521986;-517560
478;-513542;-644512;-521474;-513542
479;-511827;-642305;-519410;-511827
480;-509303;-660407;-515362;-509303
481;-508109;-598794;-514164;-508109
482;-506369;-631981;-512397;-506369
483;-506286;-626096;-511206;-506286
484;-506286;-623228;-508740;-506286
485;-506009;-589691;-508421;-506009
486;-506003;-672123;-509166;-506003
487;-506003;-598854;-507969;-506003
488;-506003;-628204;-508421;-506003
489;-506003;-627951;-508067;-506003
490;-506003;-654627;-508233;-506003
491;-505788;-564924;-507949;-505788
492;-505788;-644693;-508669;-505788
493;-503661;-701999;-507547;-503661
494;-503410;-640060;-508229;-503410
495;-501651;-667244;-507876;-501651
496;-500982;-616632;-507564;-500982
497;-500521;-681196;-506121;-500521
498;-497860;-615877;-505672;-497860
499;-496466;-611369;-504593;-496466
500;-495766;-610435;-500746;-495766
501;-491473;-638112;-499040;-491473
502;-490997;-632752;-497594;-490997
503;-490997;-581970;-494403;-490997
504;-490997;-569101;-493073;-490997
505;-490997;-610134;-493544;-490997
506;-490947;-626064;-493470;-490947
507;-490182;-645816;-494457;-490182
508;-489957;-637915;-494674;-489957
509;-489177;-649442;-493803;-489177
510;-488072;-694797;-495724;-488072
511;-486175;-624599;-493287;-486175
512;-483561;-617819;-492393;-483561
513;-483363;-569813;-488800;-483363
514;-479002;-585208;-487222;-479002
515;-477558;-617453;-485687;-477558
516;-477149;-587200;-482843;-477149
517;-477149;-676857;-480348;-477149
518;-477149;-571668;-479975;-477149
519;-476282;-624932;-479793;-476282
520;-475141;-568305;-479866;-475141
521;-473627;-596648;-481000;-473627
522;-473626;-603783;-477610;-473626
523;-471999;-613879;-476391;-471999
524;-471999;-554985;-476220;-471999
525;-471697;-583292;-474207;-471697
526;-470583;-577237;-474895;-470583
527;-468660;-597013;-475390;-468660
528;-468120;-549052;-474562;-468120
529;-468087;-622143;-471553;-468087
530;-467801;-618570;-471424;-467801
531;-467228;-584555;-471538;-467228
532;-466872;-565369;-471524;-466872
533;-465492;-612501;-471100;-465492
534;-465470;-588497;-469160;-465470
535;-463192;-585181;-467375;-463192
536;-460881;-614339;-469042;-460881
537;-460769;-573824;-466280;-460769
538;-460748;-594154;-463358;-460748
539;-460748;-546918;-463108;-460748
540;-460641;-598040;-463356;-460641
541;-460088;-608244;-463564;-460088
542;-459435;-561713;-464292;-459435
543;-457429;-575755;-464482;-457429
544;-456716;-564546;-463142;-456716
545;-456057;-551205;-460459;-456057
546;-455107;-535019;-458474;-455107
547;-454384;-552650;-459449;-454384
548;-454384;-558022;-458589;-454384
549;-454384;-575672;-457089;-454384
550;-454384;-577769;-456699;-454384
551;-454384;-612968;-456749;-454384
552;-454384;-568793;-456839;-454384
553;-454384;-581926;-456615;-454384
554;-454247;-611614;-457078;-454247
555;-454247;-567181;-456752;-454247
556;-454247;-606532;-456651;-454247
557;-453179;-541659;-456520;-453179
558;-453179;-574935;-456618;-453179
559;-452939;-578726;-456100;-452939
560;-452637;-568975;-456063;-452637
561;-450510;-550937;-455337;-450510
562;-449573;-560838;-455038;-449573
563;-449547;-528444;-452328;-449547
564;-449547;-583276;-452498;-449547
565;-449547;-501302;-451383;-449547
566;-448797;-620750;-452124;-448797
567;-448797;-610621;-451770;-448797
568;-448797;-574487;-451134;-448797
569;-448797;-597802;-451788;-448797
570;-448286;-596311;-451283;-448286
